,day_of_year,results
20577,220,28.444444444444443
20065,73,15.833333333333334
18604,73,18.000000000000004
19039,143,22.11111111111111
22694,145,25.0
20183,191,27.88888888888889
19657,30,14.77777777777778
22228,44,10.388888888888893
21005,282,26.11111111111111
19745,118,17.555555555555557
22701,152,24.77777777777777
21770,317,17.88888888888889
21489,36,13.666666666666666
20769,46,15.055555555555555
21088,365,14.88888888888889
23004,90,15.166666666666666
21930,112,19.61111111111111
20646,289,22.27777777777777
20515,158,23.5
20812,89,20.222222222222225
19234,338,19.166666666666668
20848,125,20.166666666666668
22038,220,27.61111111111111
18577,46,14.61111111111111
21311,223,28.33333333333333
19743,116,20.500000000000004
19268,6,15.833333333333334
21001,278,25.72222222222222
19422,160,24.77777777777777
20668,311,20.666666666666668
20075,83,15.166666666666666
19445,183,25.944444444444443
21560,107,17.555555555555557
20058,66,16.61111111111111
19367,105,16.61111111111111
22710,161,25.444444444444443
21883,65,21.05555555555556
21278,190,27.22222222222222
21249,161,26.11111111111111
20032,40,14.72222222222222
22625,76,17.0
20160,168,26.83333333333333
20710,353,16.555555555555557
22604,55,23.166666666666668
23113,199,27.666666666666668
19843,216,28.38888888888889
21407,319,20.0
18721,190,27.22222222222222
22732,183,27.33333333333333
21844,26,12.944444444444445
20273,281,25.83333333333333
20093,101,17.72222222222222
19488,226,26.55555555555556
20436,79,15.666666666666666
21912,94,17.5
20870,147,25.05555555555556
22978,64,16.72222222222222
22266,82,16.944444444444443
20912,189,25.83333333333333
19113,217,27.16666666666667
19828,201,26.27777777777778
20685,328,17.944444444444443
22125,307,25.611111111111107
20229,237,29.27777777777778
18619,88,15.666666666666666
21896,78,15.5
22340,156,22.77777777777778
21558,105,17.555555555555557
19402,140,21.5
21029,306,22.55555555555556
19255,359,16.27777777777778
21326,238,28.05555555555556
18727,196,26.27777777777778
19638,11,11.944444444444445
20706,349,12.77777777777778
22447,263,27.722222222222225
21564,111,17.11111111111111
19817,190,26.05555555555556
20831,108,23.61111111111111
20884,161,23.72222222222222
19266,4,13.833333333333334
20513,156,24.0
21478,25,15.11111111111111
20443,86,15.444444444444445
20851,128,20.444444444444443
22326,142,22.61111111111111
19258,362,15.61111111111111
21629,176,26.22222222222222
20693,336,18.77777777777778
23054,140,23.72222222222222
20941,218,28.000000000000004
19713,86,18.000000000000004
22138,320,27.61111111111111
21302,214,28.72222222222222
22621,72,18.666666666666664
20072,80,16.666666666666668
19269,7,16.72222222222222
20484,127,19.33333333333333
22521,337,20.166666666666668
22776,227,26.888888888888893
21051,328,16.555555555555557
21617,164,24.27777777777778
21208,120,18.5
22257,73,13.61111111111111
22469,285,26.05555555555556
22371,187,26.38888888888889
20450,93,21.444444444444443
22154,336,15.0
19201,305,19.0
19581,319,19.5
19300,38,10.111111111111112
19661,34,15.11111111111111
21198,110,18.05555555555556
21299,211,29.77777777777778
19400,138,22.5
20570,213,29.83333333333333
22639,90,18.944444444444443
22935,21,14.444444444444445
21693,240,27.27777777777777
20241,249,28.111111111111107
21916,98,16.38888888888889
23096,182,27.0
22836,287,26.27777777777778
18674,143,23.833333333333336
20539,182,26.5
19429,167,24.944444444444446
19604,342,19.0
18688,157,23.444444444444443
19768,141,20.72222222222222
19219,323,20.166666666666668
18565,34,13.555555555555555
22062,244,27.722222222222225
19946,319,20.444444444444443
21792,339,13.88888888888889
19116,220,27.666666666666668
20792,69,16.72222222222222
21146,58,13.27777777777778
20419,62,14.444444444444445
20307,315,20.500000000000004
18746,215,27.33333333333333
21802,349,18.88888888888889
21634,181,26.38888888888889
19237,341,16.833333333333332
22998,84,16.38888888888889
22741,192,26.55555555555556
19543,281,24.55555555555556
19831,204,27.11111111111111
20069,77,24.61111111111111
19037,141,21.11111111111111
22049,231,27.722222222222225
20243,251,27.83333333333333
20312,320,20.33333333333333
23098,184,26.27777777777778
21292,204,28.22222222222222
22392,208,27.944444444444443
19474,212,27.22222222222222
21454,1,15.72222222222222
21869,51,13.555555555555555
18749,218,27.55555555555556
22765,216,27.05555555555556
19822,195,25.83333333333333
19378,116,17.5
22318,134,23.166666666666668
22023,205,26.888888888888893
21605,152,22.722222222222225
22391,207,28.33333333333333
20556,199,27.77777777777778
21340,252,26.22222222222222
20278,286,25.27777777777778
19918,291,23.22222222222222
22045,227,27.61111111111111
20134,142,25.222222222222225
21488,35,14.055555555555554
22504,320,18.33333333333333
22590,41,15.055555555555555
20516,159,23.33333333333333
19778,151,22.27777777777777
20121,129,20.444444444444443
22479,295,21.611111111111114
21942,124,19.61111111111111
21227,139,21.27777777777778
20514,157,23.833333333333336
21620,167,25.11111111111111
22598,49,16.77777777777778
21131,43,15.77777777777778
19407,145,22.27777777777777
22950,36,14.166666666666666
22755,206,27.33333333333333
22567,18,14.11111111111111
20712,355,15.333333333333334
18574,43,13.88888888888889
21169,81,17.77777777777778
22624,75,16.944444444444443
19971,344,18.77777777777778
21468,15,15.944444444444445
21380,292,24.88888888888889
20842,119,21.72222222222221
19252,356,15.444444444444445
20629,272,24.77777777777777
19839,212,27.444444444444446
23126,212,29.27777777777778
19860,233,27.88888888888889
22320,136,22.5
23156,242,28.38888888888889
19858,231,28.277777777777786
22112,294,24.5
18602,71,15.944444444444445
22339,155,24.27777777777778
22436,252,27.5
23111,197,28.444444444444443
18724,193,25.777777777777786
23167,253,26.5
19881,254,26.944444444444443
20041,49,17.166666666666668
19615,353,15.72222222222222
20732,9,15.166666666666666
20704,347,17.11111111111111
22995,81,18.33333333333333
22889,340,16.61111111111111
22568,19,13.722222222222223
20992,269,26.22222222222222
19466,204,27.22222222222222
20878,155,24.27777777777778
21040,317,20.500000000000004
19886,259,27.16666666666667
22489,305,19.72222222222222
20766,43,17.0
22162,344,14.333333333333334
20013,21,13.055555555555555
18620,89,17.333333333333332
19915,288,25.38888888888889
21483,30,14.88888888888889
19704,77,11.72222222222222
21532,79,14.22222222222222
18680,149,23.55555555555556
18563,32,14.77777777777778
20245,253,27.722222222222225
19871,244,29.77777777777778
20716,359,15.61111111111111
21112,24,12.666666666666664
22151,333,14.555555555555555
20526,169,25.83333333333333
21222,134,22.22222222222222
21055,332,17.666666666666668
22984,70,18.5
23068,154,22.27777777777777
21959,141,20.72222222222222
21599,146,22.944444444444443
22352,168,25.222222222222225
21335,247,27.666666666666668
21797,344,16.27777777777778
19576,314,21.611111111111114
22246,62,21.38888888888889
19885,258,27.666666666666668
22713,164,24.77777777777777
21485,32,13.055555555555555
22541,357,15.38888888888889
21637,184,26.77777777777778
23050,136,21.611111111111114
19887,260,28.55555555555556
21229,141,21.22222222222222
19784,157,23.000000000000004
18717,186,26.611111111111114
19320,58,15.333333333333334
21565,112,17.166666666666668
21148,60,14.72222222222222
21408,320,22.61111111111111
20361,4,15.333333333333334
22490,306,19.22222222222221
22451,267,27.61111111111111
19223,327,19.05555555555556
20926,203,28.277777777777786
21756,303,19.33333333333333
21708,255,27.0
22044,226,27.22222222222222
20801,78,18.444444444444443
22700,151,24.83333333333333
22595,46,13.333333333333334
19307,45,12.611111111111112
21283,195,27.5
19626,364,16.333333333333332
20399,42,15.77777777777778
20867,144,23.444444444444443
23017,103,17.444444444444443
21686,233,27.722222222222225
19653,26,14.833333333333334
19293,31,11.38888888888889
20872,149,23.38888888888889
21535,82,14.000000000000002
21205,117,16.77777777777778
22476,292,22.666666666666668
19835,208,26.666666666666668
20240,248,28.33333333333333
19021,125,18.88888888888889
18533,2,13.38888888888889
19876,249,27.0
19264,2,13.777777777777777
21487,34,15.22222222222222
22991,77,14.555555555555555
22786,237,29.38888888888889
19405,143,22.722222222222225
19609,347,14.944444444444445
19229,333,19.5
22465,281,24.66666666666667
22726,177,26.444444444444443
20364,7,13.22222222222222
20151,159,24.55555555555556
18755,224,27.33333333333333
19144,248,27.33333333333333
20469,112,19.61111111111111
19513,251,25.444444444444443
19373,111,18.88888888888889
23129,215,28.61111111111111
20735,12,15.61111111111111
20057,65,17.444444444444443
22719,170,26.0
20300,308,22.61111111111111
20758,35,15.72222222222222
22448,264,28.05555555555556
22395,211,28.61111111111111
20800,77,18.77777777777778
23079,165,24.388888888888893
20023,31,13.27777777777778
22217,33,14.166666666666666
22520,336,19.388888888888893
19191,295,23.38888888888889
21479,26,15.88888888888889
22175,357,14.88888888888889
21301,213,29.55555555555556
21270,182,26.27777777777778
21201,113,18.166666666666668
23028,114,18.666666666666664
20288,296,23.944444444444443
22034,216,27.5
19611,349,15.5
22399,215,28.77777777777778
19146,250,28.55555555555556
18756,225,27.88888888888889
22335,151,23.833333333333336
20797,74,17.166666666666668
22904,355,17.22222222222222
20284,292,25.05555555555556
20854,131,20.05555555555556
22236,52,15.27777777777778
19082,186,27.0
19203,307,19.61111111111111
21855,37,14.61111111111111
19061,165,24.33333333333333
23104,190,26.944444444444443
18617,86,15.77777777777778
20144,152,23.72222222222222
23152,238,27.88888888888889
21904,86,16.5
20026,34,16.11111111111111
21307,219,28.83333333333333
22375,191,26.38888888888889
19046,150,22.27777777777777
18649,118,21.5
21463,10,15.0
18985,89,22.88888888888889
23159,245,28.55555555555556
22421,237,29.5
21531,78,14.833333333333334
19274,12,17.944444444444443
21752,299,24.0
20754,31,14.72222222222222
22757,208,27.77777777777778
21003,280,24.77777777777777
21050,327,16.333333333333332
22225,41,10.22222222222222
21165,77,17.72222222222222
22648,99,19.388888888888893
19719,92,16.666666666666668
20308,316,20.0
20461,104,22.22222222222222
22783,234,29.33333333333333
19767,140,20.666666666666668
21324,236,27.16666666666667
21482,29,14.833333333333334
21879,61,19.77777777777777
19639,12,10.22222222222222
22234,50,17.333333333333332
21530,77,16.72222222222222
21434,346,17.0
21555,102,17.77777777777778
22803,254,28.277777777777786
22872,323,19.77777777777777
19737,110,18.5
19387,125,18.05555555555556
21306,218,28.38888888888889
20768,45,16.61111111111111
20893,170,24.88888888888889
22499,315,19.27777777777778
21648,195,26.166666666666664
19557,295,19.111111111111114
19033,137,20.55555555555556
19569,307,22.27777777777777
20357,365,17.444444444444443
21445,357,13.166666666666668
23039,125,20.166666666666668
19239,343,16.77777777777778
19455,193,26.77777777777778
19731,104,23.111111111111107
22005,187,26.11111111111111
22963,49,15.5
21628,175,25.500000000000004
20150,158,24.77777777777777
23136,222,27.55555555555556
21388,300,22.88888888888889
21750,297,24.0
22848,299,23.22222222222222
22940,26,14.11111111111111
21567,114,25.27777777777778
22132,314,22.444444444444446
21536,83,13.11111111111111
20498,141,21.72222222222221
19491,229,26.77777777777778
19648,21,15.055555555555555
22523,339,20.27777777777778
18734,203,26.611111111111114
20787,64,16.72222222222222
21996,178,25.611111111111107
22263,79,16.444444444444443
22037,219,27.5
19565,303,22.88888888888889
20318,326,22.88888888888889
21373,285,26.166666666666664
20749,26,11.88888888888889
21123,35,15.61111111111111
22271,87,16.27777777777778
18589,58,13.88888888888889
21709,256,26.72222222222221
19151,255,25.38888888888889
18980,84,11.88888888888889
18702,171,25.500000000000004
19764,137,23.5
19043,147,22.666666666666668
21948,130,23.666666666666664
22066,248,26.666666666666668
21429,341,18.000000000000004
20674,317,22.05555555555556
21863,45,11.222222222222223
21254,166,25.222222222222225
20952,229,28.77777777777778
19748,121,19.5
20903,180,25.166666666666668
20875,152,25.11111111111111
19865,238,27.444444444444446
21190,102,17.61111111111111
22456,272,26.944444444444443
22048,230,27.38888888888889
21462,9,15.22222222222222
20633,276,25.55555555555556
22348,164,25.500000000000004
21266,178,26.38888888888889
20411,54,14.11111111111111
19189,293,25.0
20837,114,19.388888888888893
21823,5,15.77777777777778
22284,100,19.388888888888893
22576,27,14.88888888888889
22900,351,14.000000000000002
21284,196,27.77777777777778
19195,299,22.55555555555556
19390,128,18.833333333333336
22925,11,13.166666666666668
18636,105,16.833333333333332
18566,35,14.055555555555554
19291,29,12.72222222222222
22784,235,28.88888888888889
19283,21,13.333333333333334
19424,162,23.77777777777778
20818,95,18.05555555555556
20304,312,20.500000000000004
21806,353,13.722222222222223
19276,14,17.944444444444443
19882,255,27.11111111111111
21195,107,19.05555555555556
21950,132,20.666666666666668
19316,54,13.833333333333334
19836,209,27.666666666666668
22584,35,17.444444444444443
22396,212,28.55555555555556
21367,279,24.27777777777778
21933,115,17.88888888888889
22820,271,27.05555555555556
19582,320,20.0
19755,128,25.500000000000004
19087,191,26.83333333333333
21322,234,27.722222222222225
21672,219,28.000000000000004
20125,133,21.38888888888889
19281,19,13.27777777777778
19979,352,15.444444444444445
22927,13,12.666666666666664
22470,286,27.722222222222225
19221,325,20.222222222222225
19933,306,22.33333333333333
22398,214,28.88888888888889
20894,171,25.11111111111111
20033,41,13.333333333333334
19314,52,13.499999999999998
20227,235,30.05555555555556
22845,296,23.38888888888889
20546,189,27.55555555555556
22665,116,19.5
20339,347,17.5
20642,285,25.27777777777778
21811,358,14.72222222222222
19894,267,26.05555555555556
21640,187,27.22222222222222
23031,117,19.55555555555556
19631,4,15.27777777777778
20592,235,28.38888888888889
19443,181,25.55555555555556
19641,14,14.77777777777778
22743,194,27.61111111111111
22082,264,26.22222222222222
19775,148,22.38888888888889
20244,252,27.83333333333333
20521,164,25.88888888888889
18571,40,12.5
22064,246,27.38888888888889
21004,281,25.944444444444443
19134,238,27.0
20631,274,24.111111111111114
22022,204,26.77777777777778
21052,329,18.444444444444443
23119,205,28.166666666666668
19695,68,15.27777777777778
21179,91,17.11111111111111
22738,189,27.0
20883,160,23.22222222222222
20673,316,22.27777777777777
22537,353,16.5
21562,109,19.05555555555556
21130,42,16.333333333333332
20222,230,29.22222222222222
18562,31,13.499999999999998
21779,326,22.38888888888889
21087,364,13.444444444444446
21516,63,16.11111111111111
21949,131,24.61111111111111
19240,344,16.0
22588,39,15.833333333333334
19305,43,11.833333333333332
19265,3,14.000000000000002
19297,35,12.27777777777778
20377,20,14.72222222222222
21431,343,19.27777777777778
21458,5,16.77777777777778
23168,254,26.38888888888889
22880,331,20.0
19625,363,16.38888888888889
19643,16,14.444444444444445
20790,67,16.833333333333332
21635,182,26.77777777777778
22534,350,16.833333333333332
21514,61,19.61111111111111
20919,196,27.0
22633,84,18.05555555555556
21017,294,23.77777777777778
19284,22,13.11111111111111
22210,26,13.61111111111111
18670,139,20.666666666666668
18581,50,14.11111111111111
19068,172,24.388888888888893
22153,335,15.166666666666666
19808,181,26.333333333333336
22734,185,27.444444444444446
21891,73,14.77777777777778
19205,309,19.72222222222222
21932,114,18.88888888888889
18554,23,12.944444444444445
22853,304,24.5
22864,315,20.222222222222225
19259,363,18.05555555555556
23024,110,16.72222222222222
21288,200,28.5
22367,183,25.0
20027,35,15.444444444444445
23073,159,23.88888888888889
19982,355,16.88888888888889
20352,360,15.944444444444445
19337,75,11.444444444444445
20119,127,21.05555555555556
20157,165,25.55555555555556
20815,92,20.11111111111111
21379,291,24.22222222222221
18555,24,13.444444444444446
21688,235,27.11111111111111
19141,245,27.38888888888889
21492,39,14.833333333333334
22628,79,17.5
20127,135,21.11111111111111
21867,49,14.666666666666666
19508,246,26.27777777777778
20122,130,21.38888888888889
20073,81,16.11111111111111
21772,319,18.61111111111111
19220,324,20.777777777777786
21857,39,14.38888888888889
21820,2,14.833333333333334
21316,228,28.666666666666668
19377,115,19.22222222222221
21650,197,26.55555555555556
23087,173,25.72222222222222
19423,161,24.0
19024,128,20.11111111111111
20770,47,14.72222222222222
21435,347,13.499999999999998
22222,38,12.27777777777778
20106,114,19.27777777777778
21344,256,26.05555555555556
21970,152,22.27777777777777
19030,134,20.88888888888889
18593,62,20.27777777777778
21399,311,22.944444444444443
22446,262,28.000000000000004
19757,130,20.444444444444443
21092,4,13.555555555555555
22985,71,17.5
18666,135,21.22222222222222
20335,343,16.666666666666668
21546,93,19.61111111111111
20705,348,16.27777777777778
22150,332,15.61111111111111
20949,226,28.5
20270,278,26.05555555555556
22494,310,20.0
20061,69,16.77777777777778
19610,348,15.944444444444445
19862,235,28.5
20493,136,21.444444444444443
22464,280,24.5
20876,153,25.33333333333333
22229,45,13.166666666666668
20206,214,28.111111111111107
19417,155,23.000000000000004
21083,360,16.38888888888889
19580,318,19.27777777777778
20488,131,20.777777777777786
20914,191,26.5
18662,131,19.55555555555556
21339,251,26.77777777777778
19844,217,28.277777777777786
19345,83,13.499999999999998
20314,322,22.55555555555556
19325,63,14.333333333333334
21740,287,23.000000000000004
19304,42,10.444444444444445
21424,336,19.88888888888889
20433,76,15.444444444444445
21348,260,27.88888888888889
19539,277,22.5
18728,197,26.611111111111114
21973,155,21.77777777777778
21853,35,13.555555555555555
20152,160,25.27777777777778
22478,294,20.944444444444443
18650,119,18.833333333333336
22727,178,26.22222222222222
21995,177,25.33333333333333
19336,74,12.555555555555555
20043,51,13.055555555555555
19431,169,25.500000000000004
19353,91,20.666666666666668
18759,228,27.666666666666668
20530,173,25.55555555555556
21781,328,19.944444444444446
19057,161,24.33333333333333
22970,56,17.27777777777778
22108,290,25.27777777777778
22442,258,27.27777777777777
20291,299,24.388888888888893
20322,330,18.61111111111111
20035,43,15.22222222222222
22497,313,19.22222222222221
21698,245,27.5
21334,246,27.88888888888889
18691,160,24.33333333333333
20580,223,27.38888888888889
19451,189,26.944444444444443
19319,57,12.444444444444445
19380,118,17.72222222222222
19359,97,14.72222222222222
18758,227,27.83333333333333
21474,21,12.27777777777778
18549,18,11.333333333333334
21611,158,24.166666666666668
23021,107,17.77777777777778
20155,163,25.166666666666668
22656,107,18.833333333333336
20467,110,21.0
18714,183,28.83333333333333
19154,258,26.444444444444443
20862,139,21.83333333333333
23065,151,23.166666666666668
20653,296,23.277777777777786
19834,207,27.722222222222225
19310,48,14.333333333333334
18761,230,27.55555555555556
20123,131,21.55555555555556
18618,87,14.38888888888889
19272,10,16.333333333333332
20822,99,17.944444444444443
23114,200,27.5
22873,324,21.22222222222222
20476,119,20.05555555555556
20835,112,25.83333333333333
19011,115,16.444444444444443
20683,326,17.77777777777778
18774,243,27.05555555555556
19727,100,17.77777777777778
18995,99,17.61111111111111
23009,95,24.66666666666667
20070,78,20.611111111111107
23022,108,17.77777777777778
23131,217,27.944444444444443
21810,357,14.333333333333334
21582,129,27.33333333333333
21099,11,9.833333333333336
20129,137,22.22222222222222
22840,291,24.944444444444446
20738,15,14.77777777777778
20734,11,15.27777777777778
22441,257,27.55555555555556
20584,227,28.166666666666668
21443,355,12.166666666666666
20169,177,25.500000000000004
19081,185,27.05555555555556
19296,34,12.611111111111112
19515,253,25.0
20371,14,12.666666666666664
21127,39,15.833333333333334
19218,322,22.33333333333333
18989,93,16.88888888888889
20575,218,28.33333333333333
19271,9,18.22222222222222
18656,125,18.38888888888889
19614,352,17.22222222222222
20404,47,14.61111111111111
20164,172,25.944444444444443
22748,199,27.722222222222225
20713,356,16.72222222222222
21812,359,15.77777777777778
22182,364,15.166666666666666
19809,182,25.611111111111107
21319,231,27.55555555555556
19749,122,20.27777777777778
22758,209,27.33333333333333
20420,63,15.61111111111111
20856,133,24.944444444444446
22982,68,15.944444444444445
20776,53,12.055555555555555
21197,109,18.38888888888889
19227,331,19.72222222222222
21578,125,21.27777777777778
21261,173,25.444444444444443
20611,254,27.666666666666668
22124,306,25.83333333333333
20474,117,19.27777777777778
19516,254,25.33333333333333
21988,170,24.944444444444446
18624,93,13.444444444444446
23169,255,26.5
22766,217,27.16666666666667
23052,138,21.77777777777778
21874,56,16.555555555555557
21851,33,14.000000000000002
22967,53,17.166666666666668
21561,108,22.5
21521,68,16.666666666666668
19634,7,15.77777777777778
20331,339,20.33333333333333
20550,193,28.277777777777786
20082,90,18.72222222222222
22280,96,15.833333333333334
23048,134,20.83333333333333
22435,251,27.666666666666668
20857,134,20.88888888888889
18686,155,23.666666666666664
20921,198,27.444444444444446
18977,81,15.11111111111111
23149,235,28.111111111111107
19286,24,11.833333333333332
23160,246,28.38888888888889
21145,57,15.944444444444445
22850,301,17.444444444444443
22046,228,27.444444444444446
19279,17,12.27777777777778
20156,164,24.944444444444446
21807,354,12.055555555555555
19374,112,19.27777777777778
22934,20,13.055555555555555
19180,284,25.0
20019,27,15.27777777777778
21032,309,21.38888888888889
19787,160,23.33333333333333
22552,3,19.33333333333333
22611,62,16.944444444444443
20690,333,19.0
22242,58,17.666666666666668
20327,335,13.61111111111111
19709,82,14.444444444444445
19172,276,24.83333333333333
19031,135,23.166666666666668
19238,342,17.0
21022,299,23.000000000000004
20048,56,15.555555555555555
21580,127,20.944444444444443
21217,129,20.33333333333333
19762,135,19.27777777777778
20049,57,14.88888888888889
23053,139,21.611111111111114
21447,359,15.11111111111111
20337,345,16.5
21384,296,23.166666666666668
21327,239,28.05555555555556
22959,45,16.0
19414,152,22.444444444444446
19179,283,23.88888888888889
21957,139,20.83333333333333
21212,124,19.27777777777778
19825,198,26.38888888888889
19895,268,25.83333333333333
19382,120,17.22222222222222
19308,46,13.944444444444445
22418,234,28.88888888888889
18705,174,26.333333333333336
21385,297,23.944444444444443
19896,269,26.444444444444443
22646,97,17.666666666666668
21613,160,23.77777777777778
20730,7,15.61111111111111
22795,246,26.944444444444443
20029,37,14.555555555555555
21804,351,18.77777777777778
20763,40,13.555555555555555
21944,126,19.61111111111111
21533,80,12.888888888888893
22728,179,26.38888888888889
19041,145,22.944444444444443
18542,11,13.944444444444445
18546,15,15.72222222222222
19850,223,29.166666666666668
19138,242,27.83333333333333
22922,8,13.444444444444446
18536,5,13.666666666666666
19421,159,26.611111111111114
20287,295,24.33333333333333
19699,72,15.666666666666666
22773,224,27.944444444444443
22123,305,23.000000000000004
20964,241,27.944444444444443
22039,221,27.666666666666668
21937,119,23.666666666666664
19020,124,18.833333333333336
19687,60,13.27777777777778
19211,315,20.0
23139,225,28.166666666666668
21314,226,29.33333333333333
19660,33,13.11111111111111
19848,221,30.83333333333333
20852,129,20.72222222222222
22282,98,24.166666666666668
20918,195,26.611111111111114
19726,99,17.555555555555557
22996,82,26.83333333333333
21900,82,20.777777777777786
22730,181,26.55555555555556
21577,124,24.5
20390,33,13.944444444444445
22484,300,22.16666666666667
22647,98,20.55555555555556
19313,51,15.666666666666666
22554,5,20.27777777777778
22535,351,17.166666666666668
19025,129,21.05555555555556
20341,349,16.22222222222222
21118,30,12.888888888888893
22578,29,13.944444444444445
22992,78,15.333333333333334
22620,71,16.5
21784,331,17.11111111111111
20342,350,15.88888888888889
21991,173,25.166666666666668
21974,156,22.33333333333333
20880,157,23.666666666666664
18981,85,12.055555555555555
21038,315,21.444444444444443
21906,88,18.277777777777786
21337,249,26.888888888888893
22898,349,16.5
18598,67,15.38888888888889
18720,189,26.83333333333333
22170,352,9.055555555555554
18751,220,27.16666666666667
19115,219,26.83333333333333
18750,219,27.33333333333333
20657,300,18.666666666666664
21231,143,21.77777777777778
19575,313,21.611111111111114
22439,255,27.0
22973,59,15.555555555555555
18984,88,18.666666666666664
20063,71,17.11111111111111
20353,361,16.22222222222222
22256,72,10.72222222222222
21351,263,26.27777777777778
19334,72,14.166666666666666
22036,218,26.944444444444443
20528,171,25.88888888888889
20578,221,28.05555555555556
19393,131,20.55555555555556
19210,314,19.33333333333333
18547,16,13.61111111111111
22373,189,25.83333333333333
22571,22,15.555555555555555
19698,71,16.555555555555557
21701,248,27.5
22921,7,13.722222222222223
21232,144,21.888888888888893
20096,104,19.05555555555556
22549,365,16.944444444444443
23013,99,17.444444444444443
19124,228,27.83333333333333
20810,87,19.61111111111111
20933,210,27.61111111111111
18766,235,27.33333333333333
19934,307,21.83333333333333
20173,181,26.5
18568,37,13.88888888888889
21547,94,27.33333333333333
20306,314,20.55555555555556
22028,210,27.444444444444446
21409,321,21.944444444444443
21544,91,15.666666666666666
21715,262,26.27777777777778
20263,271,26.72222222222221
20654,297,21.22222222222222
19427,165,24.33333333333333
19052,156,22.77777777777778
20316,324,20.611111111111107
19534,272,24.166666666666668
20849,126,24.72222222222222
22834,285,26.22222222222222
20480,123,20.0
19358,96,16.77777777777778
20172,180,26.5
21470,17,14.27777777777778
18709,178,26.11111111111111
18582,51,14.166666666666666
22174,356,14.555555555555555
18596,65,16.38888888888889
22078,260,25.611111111111107
19883,256,27.22222222222222
19622,360,14.666666666666666
20054,62,15.77777777777778
22495,311,20.11111111111111
19771,144,21.22222222222222
21594,141,23.111111111111107
21652,199,26.444444444444443
22314,130,19.77777777777777
20046,54,14.5
21107,19,13.22222222222222
19135,239,27.61111111111111
20349,357,17.77777777777778
21901,83,25.27777777777778
21662,209,27.05555555555556
19498,236,27.0
22685,136,21.55555555555556
21822,4,13.555555555555555
22751,202,26.888888888888893
21044,321,21.666666666666668
21364,276,25.27777777777778
19199,303,16.333333333333332
21903,85,16.88888888888889
21412,324,21.444444444444443
22474,290,24.111111111111114
21240,152,22.83333333333333
21722,269,23.77777777777778
20398,41,14.22222222222222
19528,266,25.11111111111111
20320,328,20.88888888888889
22133,315,22.05555555555556
19642,15,15.055555555555555
20259,267,27.27777777777777
19122,226,28.22222222222222
21484,31,14.61111111111111
20670,313,21.0
21074,351,17.055555555555557
21020,297,23.166666666666668
22374,190,25.83333333333333
20896,173,25.777777777777786
23163,249,28.61111111111111
18723,192,26.22222222222222
21078,355,12.77777777777778
22303,119,18.666666666666664
21774,321,18.38888888888889
22317,133,23.000000000000004
22703,154,25.83333333333333
21461,8,15.555555555555555
21706,253,26.333333333333336
19119,223,27.5
20387,30,12.333333333333336
21033,310,21.5
19303,41,10.5
20317,325,21.38888888888889
21884,66,15.055555555555555
20771,48,11.38888888888889
19459,197,26.5
22687,138,21.944444444444443
21014,291,24.0
21320,232,27.722222222222225
20988,265,26.22222222222222
22626,77,16.61111111111111
22819,270,24.83333333333333
21875,57,15.0
20511,154,24.05555555555556
22972,58,15.055555555555555
20679,322,20.27777777777778
21703,250,26.888888888888893
23061,147,22.666666666666668
20569,212,29.77777777777778
20220,228,29.27777777777778
20178,186,26.83333333333333
22214,30,20.88888888888889
18603,72,14.61111111111111
20695,338,17.72222222222222
21139,51,13.055555555555555
18701,170,25.777777777777786
21556,103,17.11111111111111
21432,344,19.05555555555556
19711,84,14.555555555555555
22729,180,26.38888888888889
18629,98,18.22222222222222
19956,329,21.38888888888889
19103,207,26.611111111111114
22637,88,17.944444444444443
22296,112,24.61111111111111
23069,155,23.444444444444443
21888,70,14.27777777777778
21068,345,16.11111111111111
