,day_of_year,results
22667,118,23.111111111111107
23042,128,22.22222222222222
19051,155,21.55555555555556
20795,72,17.83333333333333
21733,280,25.55555555555556
21475,22,13.11111111111111
19034,138,20.666666666666668
20159,167,26.72222222222221
19354,92,19.27777777777778
21524,71,14.055555555555554
18537,6,14.5
21181,93,16.5
21994,176,25.666666666666668
20865,142,22.444444444444446
19104,208,27.5
20472,115,18.61111111111111
23007,93,17.0
18743,212,27.55555555555556
20064,72,16.11111111111111
22511,327,20.611111111111107
22193,9,12.77777777777778
20913,190,26.22222222222222
22345,161,25.500000000000004
22394,210,28.166666666666668
19967,340,21.22222222222222
19700,73,15.166666666666666
23172,258,26.666666666666668
22782,233,28.83333333333333
19452,190,27.27777777777777
20725,2,14.77777777777778
21359,271,26.27777777777778
19096,200,27.33333333333333
20372,15,12.666666666666664
20460,103,28.5
20385,28,7.277777777777778
19519,257,25.72222222222222
21927,109,17.333333333333332
19633,6,15.38888888888889
19536,274,24.33333333333333
22763,214,26.77777777777778
22406,222,28.83333333333333
21623,170,25.166666666666668
22688,139,21.666666666666668
19257,361,16.11111111111111
20808,85,17.61111111111111
20579,222,28.277777777777786
19696,69,16.444444444444443
19086,190,26.611111111111114
20517,160,24.0
22631,82,19.111111111111114
20687,330,17.166666666666668
23166,252,27.11111111111111
20783,60,21.166666666666664
19781,154,22.33333333333333
20593,236,28.05555555555556
19853,226,29.27777777777778
23118,204,28.444444444444443
21881,63,23.55555555555556
19484,222,27.33333333333333
19425,163,23.833333333333336
23040,126,20.72222222222222
19416,154,22.22222222222222
23011,97,23.111111111111107
19464,202,26.77777777777778
21173,85,15.77777777777778
23074,160,23.38888888888889
21805,352,14.666666666666666
21274,186,26.944444444444443
21899,81,15.22222222222222
20462,105,18.88888888888889
19803,176,24.944444444444446
20601,244,28.22222222222222
20505,148,22.61111111111111
20609,252,27.61111111111111
19196,300,21.22222222222222
20401,44,14.5
21124,36,17.27777777777778
19715,88,14.833333333333334
19684,57,14.27777777777778
21571,118,17.77777777777778
22262,78,15.166666666666666
19073,177,24.88888888888889
20761,38,12.5
20024,32,14.444444444444445
21417,329,19.77777777777777
19458,196,27.11111111111111
21196,108,18.666666666666664
19040,144,23.33333333333333
20560,203,27.5
20120,128,21.333333333333336
22909,360,13.22222222222222
19111,215,27.77777777777778
21152,64,17.055555555555557
21540,87,14.166666666666666
22764,215,26.888888888888893
20329,337,14.72222222222222
20890,167,24.388888888888893
20809,86,19.111111111111114
19798,171,25.0
21980,162,23.277777777777786
20346,354,16.333333333333332
19533,271,24.33333333333333
21677,224,27.83333333333333
21287,199,28.61111111111111
19366,104,19.166666666666668
19158,262,25.166666666666668
19065,169,24.944444444444446
21117,29,13.166666666666668
20076,84,15.444444444444445
22029,211,28.55555555555556
20531,174,26.55555555555556
22007,189,27.05555555555556
19906,279,26.11111111111111
22313,129,21.0
23124,210,29.444444444444443
22868,319,19.27777777777778
21381,293,25.11111111111111
19449,187,26.77777777777778
19868,241,28.666666666666668
21502,49,18.33333333333333
23037,123,26.38888888888889
22505,321,18.666666666666664
22832,283,24.05555555555556
19779,152,21.944444444444443
19231,335,17.666666666666668
22753,204,26.83333333333333
21177,89,15.61111111111111
20112,120,20.777777777777786
20218,226,29.22222222222222
21342,254,27.61111111111111
21023,300,23.000000000000004
18707,176,25.611111111111107
19747,120,18.55555555555556
21830,12,13.38888888888889
19566,304,22.88888888888889
22563,14,11.277777777777777
20249,257,27.16666666666667
22863,314,19.5
19961,334,19.111111111111114
21499,46,13.777777777777777
19504,242,25.55555555555556
22931,17,13.11111111111111
20022,30,15.0
22810,261,27.666666666666668
22055,237,28.277777777777786
19813,186,28.166666666666668
19607,345,16.88888888888889
19413,151,22.61111111111111
20889,166,25.38888888888889
22312,128,22.5
22364,180,25.222222222222225
22143,325,18.5
21660,207,26.77777777777778
20598,241,28.5
19163,267,25.88888888888889
22297,113,20.777777777777786
21200,112,18.444444444444443
19683,56,15.38888888888889
18772,241,28.5
20277,285,24.111111111111114
19409,147,23.000000000000004
21497,44,15.055555555555555
22363,179,25.0
20179,187,27.05555555555556
22165,347,14.77777777777778
23056,142,21.333333333333336
22938,24,15.444444444444445
19789,162,24.944444444444446
19467,205,26.38888888888889
18665,134,21.5
19810,183,25.38888888888889
19101,205,27.11111111111111
21184,96,22.83333333333333
22397,213,28.77777777777778
19907,280,25.88888888888889
20000,8,13.944444444444445
18991,95,16.61111111111111
20084,92,16.77777777777778
21256,168,25.166666666666668
22156,338,17.11111111111111
21448,360,14.666666666666666
22750,201,27.5
22134,316,24.5
20424,67,13.0
18996,100,17.333333333333332
19121,225,28.22222222222222
21376,288,25.11111111111111
22378,194,28.000000000000004
21681,228,28.22222222222222
22496,312,19.5
19440,178,25.72222222222222
18534,3,13.27777777777778
19007,111,18.55555555555556
21363,275,26.27777777777778
19012,116,16.38888888888889
21877,59,19.444444444444443
21841,23,14.22222222222222
21084,361,18.38888888888889
22678,129,20.222222222222225
22311,127,22.83333333333333
21632,179,25.83333333333333
22063,245,28.5
22843,294,23.277777777777786
22212,28,16.166666666666668
21451,363,15.444444444444445
19861,234,28.000000000000004
20464,107,19.0
20741,18,15.444444444444445
22415,231,28.22222222222222
21228,140,21.666666666666668
21527,74,16.27777777777778
19730,103,27.27777777777777
22041,223,27.16666666666667
18711,180,26.77777777777778
23158,244,28.22222222222222
19120,224,28.05555555555556
20465,108,20.611111111111107
21609,156,23.5
18641,110,16.38888888888889
19426,164,24.0
22475,291,20.777777777777786
21631,178,25.777777777777786
19765,138,24.05555555555556
21036,313,21.166666666666664
19226,330,20.777777777777786
22325,141,23.05555555555556
20136,144,24.388888888888893
22072,254,27.22222222222222
20650,293,23.33333333333333
19327,65,16.0
21000,277,26.0
22855,306,20.777777777777786
19930,303,20.72222222222222
20892,169,24.77777777777777
22460,276,25.500000000000004
22662,113,21.11111111111111
23148,234,27.77777777777778
19818,191,26.0
22412,228,29.55555555555556
19950,323,20.11111111111111
21094,6,12.388888888888888
22359,175,26.333333333333336
20219,227,28.944444444444443
20006,14,14.833333333333334
21557,104,17.0
21427,339,18.88888888888889
21999,181,24.77777777777777
21114,26,13.0
22951,37,12.666666666666664
20303,311,20.777777777777786
19889,262,26.944444444444443
19623,361,15.055555555555555
21477,24,14.333333333333334
22091,273,27.05555555555556
22574,25,15.61111111111111
22560,11,11.72222222222222
21013,290,24.66666666666667
18608,77,15.166666666666666
22976,62,15.5
23070,156,23.33333333333333
22711,162,25.83333333333333
23032,118,19.61111111111111
20236,244,28.05555555555556
20370,13,12.833333333333334
22453,269,27.05555555555556
21263,175,24.88888888888889
21246,158,26.444444444444443
22958,44,15.166666666666666
18541,10,15.0
22846,297,23.33333333333333
22942,28,15.61111111111111
19356,94,16.0
22772,223,27.444444444444446
20103,111,19.111111111111114
20817,94,18.38888888888889
18601,70,14.38888888888889
18561,30,14.22222222222222
21182,94,16.5
20068,76,15.833333333333334
23083,169,24.55555555555556
19586,324,19.5
22987,73,15.22222222222222
21174,86,15.22222222222222
19035,139,21.666666666666668
20510,153,23.77777777777778
21794,341,16.22222222222222
20439,82,15.38888888888889
22615,66,23.77777777777778
20071,79,17.166666666666668
22466,282,25.611111111111107
22736,187,26.944444444444443
20671,314,22.11111111111111
18690,159,25.33333333333333
19617,355,13.11111111111111
20970,247,28.05555555555556
22126,308,25.38888888888889
20286,294,24.27777777777778
22163,345,14.77777777777778
20881,158,23.166666666666668
20720,363,13.944444444444445
23000,86,16.333333333333332
20142,150,22.61111111111111
21748,295,25.11111111111111
19084,188,26.333333333333336
20888,165,24.72222222222222
22040,222,27.5
19285,23,11.277777777777777
20636,279,26.444444444444443
20408,51,14.5
18760,229,27.722222222222225
18569,38,12.555555555555555
20470,113,18.277777777777786
23135,221,27.83333333333333
20944,221,28.38888888888889
20161,169,26.77777777777778
18767,236,27.444444444444446
21700,247,28.000000000000004
20140,148,23.88888888888889
22600,51,16.833333333333332
22962,48,15.38888888888889
20004,12,15.944444444444445
20922,199,27.38888888888889
18669,138,20.72222222222222
20807,84,17.88888888888889
22983,69,17.22222222222222
19088,192,27.0
19182,286,24.61111111111111
22003,185,26.05555555555556
21219,131,21.666666666666668
22653,104,23.444444444444443
19572,310,20.222222222222225
19596,334,16.833333333333332
22097,279,24.05555555555556
22544,360,13.11111111111111
21897,79,13.499999999999998
20056,64,17.88888888888889
21787,334,17.333333333333332
19780,153,22.33333333333333
21729,276,23.833333333333336
20309,317,19.88888888888889
20053,61,15.444444444444445
22281,97,22.83333333333333
21251,163,24.444444444444443
22596,47,13.166666666666668
22800,251,26.888888888888893
20475,118,19.55555555555556
22706,157,27.16666666666667
22548,364,16.444444444444443
21749,296,24.5
21766,313,21.05555555555556
20830,107,19.83333333333333
22471,287,26.27777777777778
22793,244,28.111111111111107
18585,54,14.77777777777778
20928,205,27.27777777777777
22835,286,26.05555555555556
20487,130,19.83333333333333
19531,269,24.5
20740,17,14.833333333333334
20110,118,20.38888888888889
23057,143,21.11111111111111
22353,169,25.38888888888889
22879,330,21.27777777777778
19396,134,20.83333333333333
22227,43,10.0
18681,150,24.66666666666667
20608,251,27.5
20581,224,27.666666666666668
22032,214,27.55555555555556
19067,171,24.05555555555556
19592,330,18.05555555555556
19802,175,25.222222222222225
19241,345,15.27777777777778
19055,159,25.72222222222222
21441,353,17.38888888888889
21593,140,22.5
19769,142,20.11111111111111
22756,207,27.16666666666667
20104,112,18.77777777777778
19714,87,16.555555555555557
19924,297,22.27777777777777
22480,296,26.55555555555556
19339,77,16.22222222222222
22019,201,27.722222222222225
18630,99,21.0
20557,200,28.166666666666668
20643,286,24.388888888888893
18572,41,13.11111111111111
20775,52,12.27777777777778
21223,135,20.88888888888889
18645,114,17.22222222222222
19694,67,15.0
19192,296,22.55555555555556
22245,61,25.27777777777778
19461,199,27.33333333333333
19875,248,27.444444444444446
20699,342,17.166666666666668
20378,21,12.833333333333334
19147,251,27.38888888888889
20302,310,20.777777777777786
21626,173,25.38888888888889
18654,123,18.61111111111111
21162,74,17.444444444444443
20509,152,25.166666666666668
22071,253,27.0
20170,178,25.83333333333333
21286,198,28.5
19132,236,26.55555555555556
22790,241,28.444444444444443
19867,240,28.61111111111111
21659,206,26.944444444444443
22327,143,22.666666666666668
19254,358,17.333333333333332
19441,179,25.88888888888889
20942,219,28.38888888888889
23081,167,24.22222222222221
19142,246,27.05555555555556
20204,212,28.000000000000004
21506,53,13.27777777777778
22960,46,16.22222222222222
19391,129,19.88888888888889
22012,194,26.611111111111114
21426,338,18.33333333333333
20382,25,17.38888888888889
19877,250,27.944444444444443
19742,115,21.333333333333336
22939,25,15.61111111111111
20906,183,25.55555555555556
21627,174,25.611111111111107
21277,189,26.83333333333333
19267,5,14.22222222222222
18693,162,24.05555555555556
20585,228,28.5
21207,119,18.111111111111107
21697,244,27.722222222222225
21665,212,27.16666666666667
20181,189,26.72222222222221
20520,163,25.38888888888889
23127,213,28.88888888888889
20717,360,16.22222222222222
19960,333,22.27777777777777
22725,176,26.05555555555556
21341,253,26.611111111111114
20166,174,26.944444444444443
21304,216,28.5
19450,188,27.22222222222222
21862,44,15.11111111111111
21522,69,15.5
21619,166,24.77777777777777
19302,40,9.833333333333336
20554,197,28.33333333333333
18576,45,16.22222222222222
22517,333,22.88888888888889
22067,249,26.72222222222221
21777,324,18.88888888888889
21121,33,14.38888888888889
22913,364,11.72222222222222
19546,284,23.05555555555556
21147,59,13.88888888888889
22640,91,18.277777777777786
22614,65,16.833333333333332
21800,347,19.5
19904,277,25.55555555555556
22946,32,13.61111111111111
19161,265,27.88888888888889
19317,55,14.11111111111111
22308,124,19.0
21509,56,10.88888888888889
22515,331,20.666666666666668
22047,229,27.38888888888889
21963,145,20.0
22508,324,21.444444444444443
19338,76,13.777777777777777
20235,243,28.944444444444443
20929,206,27.55555555555556
22285,101,23.277777777777786
21153,65,20.05555555555556
19804,177,25.166666666666668
19523,261,25.27777777777778
20055,63,16.944444444444443
22918,4,12.833333333333334
21610,157,23.88888888888889
22994,80,17.27777777777778
20389,32,13.944444444444445
19518,256,26.0
19750,123,20.33333333333333
21538,85,14.88888888888889
20718,361,14.11111111111111
20780,57,16.555555555555557
19485,223,27.27777777777777
21728,275,24.83333333333333
20905,182,26.0
23157,243,28.61111111111111
22147,329,14.833333333333334
19947,320,20.0
21695,242,27.83333333333333
20092,100,17.333333333333332
22565,16,11.77777777777778
19587,325,18.33333333333333
22915,1,11.055555555555555
21908,90,18.55555555555556
22341,157,24.944444444444446
21984,166,23.61111111111111
20264,272,27.5
22997,83,17.944444444444443
18614,83,16.5
20163,171,26.444444444444443
19486,224,26.83333333333333
19545,283,23.55555555555556
21852,34,12.333333333333336
19761,134,20.38888888888889
22709,160,24.444444444444443
18673,142,23.666666666666664
20271,279,26.333333333333336
19605,343,18.000000000000004
20395,38,12.5
20111,119,19.55555555555556
20564,207,27.61111111111111
22652,103,22.444444444444446
22551,2,16.055555555555557
19245,349,15.22222222222222
22084,266,26.444444444444443
21156,68,16.944444444444443
22346,162,25.222222222222225
20533,176,26.27777777777778
19972,345,15.88888888888889
19975,348,17.555555555555557
18653,122,19.55555555555556
21961,143,20.72222222222222
21019,296,21.83333333333333
22445,261,28.111111111111107
22768,219,27.444444444444446
21086,363,17.77777777777778
18738,207,27.05555555555556
20582,225,27.944444444444443
22273,89,17.22222222222222
22722,173,25.11111111111111
20117,125,22.83333333333333
22807,258,27.33333333333333
21997,179,25.05555555555556
22379,195,27.33333333333333
22243,59,16.77777777777778
19004,108,19.72222222222222
19738,111,18.111111111111107
21864,46,11.77777777777778
20148,156,25.11111111111111
19590,328,20.0
20275,283,24.83333333333333
18667,136,20.55555555555556
21954,136,20.611111111111107
20237,245,28.22222222222222
19589,327,17.83333333333333
21154,66,24.944444444444446
19560,298,22.5
19629,2,11.944444444444445
20765,42,16.055555555555557
19150,254,26.333333333333336
22290,106,18.000000000000004
22411,227,29.666666666666668
22655,106,16.72222222222222
19483,221,27.22222222222222
19214,318,19.72222222222222
21061,338,15.61111111111111
19194,298,21.333333333333336
21699,246,27.61111111111111
19502,240,26.05555555555556
19754,127,21.666666666666668
22130,312,23.38888888888889
19529,267,25.0
21910,92,18.444444444444443
19006,110,17.0
18543,12,12.555555555555555
20186,194,28.38888888888889
20773,50,14.333333333333334
21684,231,27.83333333333333
22270,86,16.166666666666668
22929,15,12.77777777777778
21332,244,27.5
19411,149,22.444444444444446
20622,265,27.22222222222222
19394,132,21.0
21442,354,16.38888888888889
22797,248,27.55555555555556
21751,298,23.444444444444443
20572,215,28.72222222222222
20607,250,27.38888888888889
19439,177,25.83333333333333
22928,14,13.055555555555555
20655,298,17.0
19328,66,13.166666666666668
22247,63,16.61111111111111
20365,8,13.722222222222223
21414,326,21.72222222222221
21714,261,26.5
19049,153,22.88888888888889
18651,120,19.111111111111114
18732,201,26.944444444444443
22184,366,15.22222222222222
20644,287,25.666666666666668
21011,288,24.944444444444446
20203,211,27.83333333333333
22677,128,21.0
20924,201,27.5
21215,127,19.22222222222221
20451,94,18.944444444444443
19973,346,16.0
21592,139,22.22222222222222
19702,75,18.22222222222222
22869,320,19.22222222222221
20596,239,28.61111111111111
19958,331,21.444444444444443
19571,309,18.833333333333336
18747,216,27.5
20405,48,14.72222222222222
22657,108,20.444444444444443
19128,232,27.722222222222225
18559,28,13.88888888888889
23010,96,19.77777777777777
19492,230,26.5
20612,255,27.27777777777777
19216,320,22.444444444444446
20943,220,28.61111111111111
20261,269,26.72222222222221
20762,39,13.444444444444446
21801,348,20.666666666666668
19652,25,14.77777777777778
21045,322,15.72222222222222
21297,209,28.38888888888889
21676,223,28.000000000000004
21377,289,22.55555555555556
19357,95,16.72222222222222
20180,188,26.666666666666668
21759,306,23.111111111111107
21588,135,23.166666666666668
20551,194,28.277777777777786
21923,105,18.111111111111107
20175,183,26.72222222222221
18664,133,21.22222222222222
19018,122,27.05555555555556
22053,235,27.11111111111111
19301,39,8.055555555555555
21778,325,18.88888888888889
22148,330,16.38888888888889
19666,39,15.944444444444445
22759,210,27.22222222222222
19735,108,19.66666666666667
19990,363,15.166666666666666
19130,234,27.22222222222222
22140,322,21.888888888888893
19656,29,15.11111111111111
20544,187,27.5
21235,147,22.38888888888889
22183,365,16.88888888888889
21043,320,21.38888888888889
21872,54,12.72222222222222
22953,39,13.38888888888889
19462,200,28.111111111111107
22969,55,17.83333333333333
19149,253,26.72222222222221
21211,123,19.61111111111111
21218,130,22.0
19793,166,25.0
19335,73,14.555555555555555
20131,139,23.22222222222222
21140,52,14.000000000000002
19827,200,25.72222222222222
20262,270,27.16666666666667
20885,162,24.83333333333333
19763,136,20.444444444444443
21501,48,15.944444444444445
21831,13,13.333333333333334
22566,17,12.72222222222222
20586,229,28.5
22113,295,24.111111111111114
20588,231,28.55555555555556
19392,130,20.0
21096,8,12.888888888888893
20280,288,24.77777777777777
18580,49,14.055555555555554
19053,157,23.61111111111111
20649,292,23.277777777777786
20438,81,14.5
20583,226,28.22222222222222
20973,250,29.0
21926,108,17.666666666666668
21480,27,16.38888888888889
19406,144,22.27777777777777
22947,33,13.38888888888889
19621,359,15.72222222222222
18773,242,28.000000000000004
21224,136,20.38888888888889
20042,50,14.88888888888889
19075,179,26.27777777777778
23110,196,26.944444444444443
22752,203,26.666666666666668
22608,59,17.27777777777778
21622,169,25.611111111111107
21678,225,28.05555555555556
21405,317,21.05555555555556
21739,286,22.11111111111111
22838,289,23.05555555555556
21630,177,25.88888888888889
21180,92,14.61111111111111
21618,165,24.5
20696,339,18.88888888888889
21133,45,14.72222222222222
19256,360,15.88888888888889
20542,185,27.27777777777777
21725,272,24.166666666666668
21423,335,17.166666666666668
22526,342,19.111111111111114
19506,244,26.22222222222222
22205,21,14.555555555555555
19941,314,20.88888888888889
19212,316,24.66666666666667
22826,277,25.666666666666668
19649,22,16.22222222222222
21576,123,22.666666666666668
22107,289,25.33333333333333
20648,291,24.66666666666667
19578,316,19.72222222222222
22715,166,25.166666666666668
19003,107,20.222222222222225
19815,188,25.444444444444443
20752,29,13.0
22645,96,17.61111111111111
22875,326,18.666666666666664
18639,108,19.27777777777778
22027,209,27.55555555555556
22562,13,11.61111111111111
21395,307,25.666666666666668
19847,220,29.77777777777778
19312,50,14.666666666666666
19470,208,27.38888888888889
22527,343,20.222222222222225
22813,264,27.27777777777777
18770,239,27.944444444444443
21187,99,17.11111111111111
22699,150,24.444444444444443
22944,30,13.88888888888889
21782,329,18.33333333333333
20239,247,28.666666666666668
21690,237,27.22222222222222
22638,89,17.77777777777778
20834,111,22.22222222222222
20969,246,28.22222222222222
20512,155,24.166666666666668
21444,356,11.833333333333332
19746,119,18.277777777777786
20859,136,20.05555555555556
20289,297,23.944444444444443
19931,304,21.5
22513,329,20.166666666666668
20767,44,14.555555555555555
19655,28,15.333333333333334
18736,205,26.888888888888893
18722,191,26.77777777777778
19225,329,20.11111111111111
22555,6,17.27777777777778
20843,120,29.0
19174,278,23.5
20590,233,28.05555555555556
18976,80,15.22222222222222
19347,85,12.333333333333336
21473,20,13.0
22650,101,18.38888888888889
22117,299,24.66666666666667
19959,332,20.38888888888889
21262,174,25.222222222222225
22491,307,19.166666666666668
21895,77,13.88888888888889
21829,11,14.61111111111111
18640,109,17.77777777777778
20147,155,23.61111111111111
19845,218,29.166666666666668
20723,366,15.38888888888889
21034,311,20.666666666666668
20999,276,27.22222222222222
19162,266,26.444444444444443
22602,53,16.555555555555557
23045,131,22.33333333333333
23076,162,24.33333333333333
23072,158,23.88888888888889
21420,332,19.61111111111111
20724,1,16.555555555555557
20421,64,15.38888888888889
19703,76,14.77777777777778
21892,74,15.333333333333334
21028,305,22.38888888888889
21075,352,14.833333333333334
20088,96,18.61111111111111
20626,269,27.0
22507,323,19.27777777777778
20920,197,26.944444444444443
22249,65,17.38888888888889
19552,290,25.27777777777778
19197,301,20.72222222222222
18986,90,19.166666666666668
19693,66,15.444444444444445
23094,180,28.277777777777786
19038,142,21.444444444444443
22817,268,25.88888888888889
19905,278,26.0
19415,153,23.111111111111107
20367,10,13.88888888888889
21457,4,16.72222222222222
22501,317,17.11111111111111
18676,145,23.000000000000004
22605,56,18.444444444444443
21976,158,24.166666666666668
20265,273,27.11111111111111
21422,334,17.5
18573,42,13.499999999999998
23082,168,24.33333333333333
20366,9,12.388888888888888
20051,59,15.11111111111111
22945,31,15.61111111111111
21041,318,23.33333333333333
20745,22,13.0
20481,124,21.77777777777778
23044,130,29.666666666666668
21355,267,25.166666666666668
21318,230,28.05555555555556
21053,330,18.166666666666668
21767,314,19.111111111111114
20295,303,23.277777777777786
21753,300,24.166666666666668
20828,105,18.38888888888889
21598,145,23.111111111111107
21771,318,18.05555555555556
21661,208,26.83333333333333
20430,73,16.11111111111111
21990,172,25.05555555555556
19126,230,28.000000000000004
20967,244,27.27777777777777
19824,197,25.944444444444443
18719,188,27.11111111111111
20589,232,28.5
22690,141,22.16666666666667
18983,87,16.5
19273,11,14.166666666666666
19092,196,26.55555555555556
19013,117,18.72222222222222
20535,178,26.22222222222222
23049,135,21.05555555555556
20276,284,23.944444444444443
22390,206,28.38888888888889
18993,97,17.444444444444443
23051,137,21.333333333333336
18764,233,27.55555555555556
19348,86,12.944444444444445
21683,230,27.55555555555556
20757,34,15.055555555555555
22354,170,26.5
19063,167,24.944444444444446
19697,70,18.666666666666664
21295,207,27.944444444444443
19521,259,25.83333333333333
21329,241,27.27777777777777
18600,69,15.055555555555555
20518,161,25.05555555555556
19759,132,20.444444444444443
19966,339,19.5
23125,211,29.5
20005,13,14.555555555555555
22881,332,16.77777777777778
22894,345,18.000000000000004
21956,138,20.500000000000004
20567,210,29.444444444444443
21717,264,26.22222222222222
21668,215,27.77777777777778
21093,5,13.499999999999998
21168,80,16.88888888888889
20602,245,27.444444444444446
21511,58,11.833333333333332
22070,252,28.000000000000004
21066,343,17.11111111111111
22146,328,15.5
23103,189,27.0
20616,259,26.5
19375,113,23.833333333333336
20746,23,13.499999999999998
19524,262,26.05555555555556
19260,364,14.38888888888889
21775,322,18.000000000000004
19640,13,14.555555555555555
22121,303,24.166666666666668
22298,114,18.77777777777778
19988,361,15.27777777777778
19849,222,29.88888888888889
19783,156,23.33333333333333
20211,219,28.277777777777786
20541,184,28.000000000000004
21233,145,22.444444444444446
20930,207,27.444444444444446
20167,175,26.166666666666664
21526,73,15.22222222222222
20031,39,14.555555555555555
21834,16,16.555555555555557
21839,21,14.666666666666666
18677,146,22.722222222222225
18540,9,13.944444444444445
23165,251,28.166666666666668
19129,233,27.444444444444446
21845,27,13.833333333333334
18612,81,17.22222222222222
18694,163,24.55555555555556
22569,20,15.5
18735,204,26.666666666666668
19873,246,25.777777777777786
20257,265,26.55555555555556
20664,307,19.83333333333333
22253,69,14.444444444444445
19094,198,26.55555555555556
20228,236,29.55555555555556
22831,282,24.77777777777777
19224,328,18.77777777777778
19963,336,17.72222222222222
18545,14,14.61111111111111
20014,22,18.05555555555556
23001,87,15.833333333333334
21313,225,28.61111111111111
19114,218,27.27777777777777
21744,291,22.722222222222225
19029,133,26.72222222222221
20428,71,14.61111111111111
23086,172,25.500000000000004
19497,235,26.05555555555556
19829,202,26.83333333333333
22322,138,22.666666666666668
18616,85,14.61111111111111
22450,266,27.77777777777778
19821,194,26.666666666666668
22721,172,25.11111111111111
21410,322,23.166666666666668
19080,184,26.05555555555556
19732,105,24.444444444444443
22954,40,13.666666666666666
22328,144,22.944444444444443
21840,22,17.055555555555557
18591,60,14.22222222222222
21968,150,21.333333333333336
20736,13,15.0
20794,71,18.000000000000004
20391,34,14.333333333333334
22816,267,25.72222222222222
21601,148,22.666666666666668
19728,101,24.66666666666667
22740,191,26.666666666666668
19840,213,27.61111111111111
22708,159,24.5
22190,6,13.499999999999998
22331,147,24.77777777777777
22092,274,26.888888888888893
20491,134,21.0
21868,50,13.88888888888889
23141,227,27.5
22815,266,26.27777777777778
21920,102,17.666666666666668
22275,91,19.33333333333333
19176,280,24.111111111111114
21392,304,22.88888888888889
19215,319,19.944444444444446
22683,134,22.11111111111111
22865,316,20.222222222222225
19884,257,27.83333333333333
20647,290,23.277777777777786
19454,192,27.22222222222222
21809,356,15.055555555555555
20866,143,22.722222222222225
21390,302,23.444444444444443
22342,158,25.27777777777778
21663,210,27.11111111111111
22735,186,26.72222222222221
18538,7,16.11111111111111
20637,280,26.444444444444443
22409,225,28.83333333333333
22160,342,15.22222222222222
20345,353,15.555555555555555
20165,173,26.944444444444443
18657,126,18.55555555555556
21010,287,25.777777777777786
21396,308,23.61111111111111
21585,132,22.5
19447,185,27.38888888888889
21528,75,17.166666666666668
22035,217,27.944444444444443
19127,231,27.722222222222225
22444,260,28.111111111111107
18752,221,27.38888888888889
19751,124,20.72222222222222
21563,110,17.5
20025,33,15.22222222222222
19807,180,26.72222222222221
18590,59,14.77777777777778
19306,44,12.055555555555555
21508,55,11.77777777777778
19553,291,22.444444444444446
22226,42,9.611111111111107
20779,56,14.555555555555555
21689,236,27.11111111111111
20845,122,20.72222222222222
21587,134,22.666666666666668
19442,180,25.944444444444443
22883,334,17.77777777777778
20715,358,15.055555555555555
22075,257,26.0
20085,93,16.88888888888889
21873,55,15.055555555555555
19949,322,20.33333333333333
19903,276,25.83333333333333
20444,87,16.333333333333332
19456,194,28.277777777777786
20566,209,28.33333333333333
19791,164,26.11111111111111
19326,64,14.61111111111111
20975,252,26.55555555555556
20672,315,20.0
20290,298,24.33333333333333
21985,167,24.05555555555556
23089,175,27.61111111111111
22891,342,15.5
21109,21,15.055555555555555
21666,213,27.38888888888889
19595,333,21.11111111111111
20936,213,27.666666666666668
21675,222,28.33333333333333
20555,198,28.000000000000004
19514,252,26.05555555555556
22833,284,26.38888888888889
20603,246,27.88888888888889
21803,350,17.61111111111111
19559,297,19.83333333333333
21361,273,27.944444444444443
21718,265,25.83333333333333
23059,145,22.88888888888889
19193,297,21.888888888888893
18584,53,13.11111111111111
20624,267,27.05555555555556
22272,88,17.38888888888889
18552,21,10.833333333333334
18726,195,26.55555555555556
19993,1,15.055555555555555
21102,14,11.944444444444445
19852,225,28.5
22886,337,17.22222222222222
19997,5,15.166666666666666
21437,349,15.27777777777778
21653,200,26.83333333333333
20267,275,26.444444444444443
